,Entity,Code,Year,Crop,Value (tonnes per hectare)
0,World,OWID_WRL,1961,Wheat,1.0889
1,World,OWID_WRL,1962,Wheat,1.206
2,World,OWID_WRL,1963,Wheat,1.132
3,World,OWID_WRL,1964,Wheat,1.2413
4,World,OWID_WRL,1965,Wheat,1.2151
5,World,OWID_WRL,1966,Wheat,1.4079000000000002
6,World,OWID_WRL,1967,Wheat,1.3392000000000002
7,World,OWID_WRL,1968,Wheat,1.4534
8,World,OWID_WRL,1969,Wheat,1.4174
9,World,OWID_WRL,1970,Wheat,1.4941
10,World,OWID_WRL,1971,Wheat,1.6245
11,World,OWID_WRL,1972,Wheat,1.6046
12,World,OWID_WRL,1973,Wheat,1.6836
13,World,OWID_WRL,1974,Wheat,1.6155000000000002
14,World,OWID_WRL,1975,Wheat,1.5701
15,World,OWID_WRL,1976,Wheat,1.7911
16,World,OWID_WRL,1977,Wheat,1.6724
17,World,OWID_WRL,1978,Wheat,1.9328
18,World,OWID_WRL,1979,Wheat,1.8522
19,World,OWID_WRL,1980,Wheat,1.8554
20,World,OWID_WRL,1981,Wheat,1.88
21,World,OWID_WRL,1982,Wheat,1.9992
22,World,OWID_WRL,1983,Wheat,2.1258
23,World,OWID_WRL,1984,Wheat,2.2201
24,World,OWID_WRL,1985,Wheat,2.1719
25,World,OWID_WRL,1986,Wheat,2.3213
26,World,OWID_WRL,1987,Wheat,2.29
27,World,OWID_WRL,1988,Wheat,2.2926
28,World,OWID_WRL,1989,Wheat,2.3732
29,World,OWID_WRL,1990,Wheat,2.5626
30,World,OWID_WRL,1991,Wheat,2.4435
31,World,OWID_WRL,1992,Wheat,2.5404
32,World,OWID_WRL,1993,Wheat,2.5436
33,World,OWID_WRL,1994,Wheat,2.4484
34,World,OWID_WRL,1995,Wheat,2.5153000000000003
35,World,OWID_WRL,1996,Wheat,2.5765
36,World,OWID_WRL,1997,Wheat,2.702
37,World,OWID_WRL,1998,Wheat,2.7058
38,World,OWID_WRL,1999,Wheat,2.7514000000000003
39,World,OWID_WRL,2000,Wheat,2.7218
40,World,OWID_WRL,2001,Wheat,2.7417
41,World,OWID_WRL,2002,Wheat,2.7551
42,World,OWID_WRL,2003,Wheat,2.6514
43,World,OWID_WRL,2004,Wheat,2.9426
44,World,OWID_WRL,2005,Wheat,2.8287
45,World,OWID_WRL,2006,Wheat,2.8904
46,World,OWID_WRL,2007,Wheat,2.8155
47,World,OWID_WRL,2008,Wheat,3.0626
48,World,OWID_WRL,2009,Wheat,3.0357000000000003
49,World,OWID_WRL,2010,Wheat,2.9721
50,World,OWID_WRL,2011,Wheat,3.1639
