Unnamed: 0,Entity,Code,Year,Arable land needed to produce a fixed quantity of crops
49,Afghanistan,AFG,2010,0.544869103
50,Afghanistan,AFG,2011,0.601921562
103,Africa,,2010,0.371215374
104,Africa,,2011,0.378422466
157,Albania,ALB,2010,0.388659967
158,Albania,ALB,2011,0.363629662
211,Algeria,DZA,2010,0.457408983
212,Algeria,DZA,2011,0.420850766
265,American Samoa,ASM,2010,1.622473727
266,American Samoa,ASM,2011,1.645081967
319,Americas,,2010,0.366636794
320,Americas,,2011,0.360594636
373,Angola,AGO,2010,0.343561925
374,Angola,AGO,2011,0.355456058
427,Antigua and Barbuda,ATG,2010,0.890310536
428,Antigua and Barbuda,ATG,2011,0.88419101
481,Argentina,ARG,2010,0.439791837
482,Argentina,ARG,2011,0.421729439
535,Asia,,2010,0.236901146
536,Asia,,2011,0.224998346
589,Australia,AUS,2010,0.343845974
590,Australia,AUS,2011,0.322626639
643,Australia & New Zealand,,2010,0.306829009
644,Australia & New Zealand,,2011,0.292335731
697,Austria,AUT,2010,0.6873795
698,Austria,AUT,2011,0.584610716
751,Bahamas,BHS,2010,0.375129713
752,Bahamas,BHS,2011,0.323083368
805,Bahrain,BHR,2010,1.085476872
806,Bahrain,BHR,2011,1.116081261
859,Bangladesh,BGD,2010,0.270098015
860,Bangladesh,BGD,2011,0.258888999
913,Barbados,BRB,2010,2.728067238
914,Barbados,BRB,2011,2.336725594
967,Belize,BLZ,2010,0.293233286
968,Belize,BLZ,2011,0.318157771
1021,Benin,BEN,2010,0.471552179
1022,Benin,BEN,2011,0.434145898
1075,Bermuda,BMU,2010,0.493054939
1076,Bermuda,BMU,2011,0.486960905
1129,Bhutan,BTN,2010,0.309505577
1130,Bhutan,BTN,2011,0.254677199
1183,Bolivia,BOL,2010,0.605777831
1184,Bolivia,BOL,2011,0.597001969
1237,Botswana,BWA,2010,0.509937598
1238,Botswana,BWA,2011,0.545428086
1291,Brazil,BRA,2010,0.585188258
1292,Brazil,BRA,2011,0.563289389
1343,British Virgin Islands,VGB,2010,0.014008334
1344,British Virgin Islands,VGB,2011,0.01356456
1397,Brunei,BRN,2010,0.936000827
1398,Brunei,BRN,2011,0.906478422
1451,Bulgaria,BGR,2010,0.771949862
1452,Bulgaria,BGR,2011,0.772615881
1505,Burkina Faso,BFA,2010,0.38733234
1506,Burkina Faso,BFA,2011,0.432874136
1559,Burundi,BDI,2010,0.718709584
1560,Burundi,BDI,2011,0.809368843
1613,Cabo Verde,,2010,0.679323048
1614,Cabo Verde,,2011,0.551742866
1667,Cambodia,KHM,2010,0.384240247
1668,Cambodia,KHM,2011,0.332258934
1721,Cameroon,CMR,2010,0.222443725
1722,Cameroon,CMR,2011,0.216613487
1775,Canada,CAN,2010,0.244932746
1776,Canada,CAN,2011,0.238329854
1829,Caribbean,,2010,1.439981497
1830,Caribbean,,2011,1.358253408
1883,Central African Republic,CAF,2010,0.493675762
1884,Central African Republic,CAF,2011,0.4748524
1937,Central America,,2010,0.306139537
