index,Entity,Code,Year,Arable land needed to produce a fixed quantity of crops,country-code
49,Afghanistan,AFG,2010.0,0.544869103,4
2043,Albania,ALB,2010.0,0.388659967,8
2097,Algeria,DZA,2010.0,0.457408983,12
2151,American Samoa,ASM,2010.0,1.622473727,16
2205,Angola,AGO,2010.0,0.343561925,24
2259,Antigua and Barbuda,ATG,2010.0,0.890310536,28
2313,Argentina,ARG,2010.0,0.439791837,32
2367,Australia,AUS,2010.0,0.343845974,36
2421,Austria,AUT,2010.0,0.6873795,40
2475,Bahamas,BHS,2010.0,0.375129713,44
2529,Bahrain,BHR,2010.0,1.085476872,48
2583,Bangladesh,BGD,2010.0,0.270098015,50
2637,Barbados,BRB,2010.0,2.728067238,52
2691,Belize,BLZ,2010.0,0.293233286,84
2745,Benin,BEN,2010.0,0.471552179,204
2799,Bermuda,BMU,2010.0,0.493054939,60
2853,Bhutan,BTN,2010.0,0.309505577,64
2907,Bolivia,BOL,2010.0,0.605777831,68
2961,Botswana,BWA,2010.0,0.509937598,72
3015,Brazil,BRA,2010.0,0.585188258,76
3067,British Virgin Islands,VGB,2010.0,0.014008334,92
3121,Brunei,BRN,2010.0,0.936000827,96
3175,Bulgaria,BGR,2010.0,0.771949862,100
3229,Burkina Faso,BFA,2010.0,0.38733234,854
3283,Burundi,BDI,2010.0,0.718709584,108
3337,Cambodia,KHM,2010.0,0.384240247,116
3391,Cameroon,CMR,2010.0,0.222443725,120
3445,Canada,CAN,2010.0,0.244932746,124
3499,Central African Republic,CAF,2010.0,0.493675762,140
3553,Chad,TCD,2010.0,0.312057828,148
3607,Chile,CHL,2010.0,0.09628512,152
3661,China,CHN,2010.0,0.262185387,156
3715,Colombia,COL,2010.0,0.165136054,170
3769,Comoros,COM,2010.0,0.403453838,174
3823,Congo,COG,2010.0,0.36377155,178
3877,Cook Islands,COK,2010.0,2.797737243,184
3931,Costa Rica,CRI,2010.0,0.116142973,188
3985,Cote d'Ivoire,CIV,2010.0,0.292800988,384
4039,Cuba,CUB,2010.0,2.643752369,192
4093,Cyprus,CYP,2010.0,0.377483157,196
4147,Democratic Republic of Congo,COD,2010.0,0.625808732,180
4201,Denmark,DNK,2010.0,0.503882355,208
4255,Djibouti,DJI,2010.0,0.037034409,262
4309,Dominica,DMA,2010.0,0.69669091,212
4363,Dominican Republic,DOM,2010.0,0.605149553,214
4417,Ecuador,ECU,2010.0,0.247596242,218
4471,Egypt,EGY,2010.0,0.238824124,818
4525,El Salvador,SLV,2010.0,0.785007201,222
4579,Equatorial Guinea,GNQ,2010.0,1.119243101,226
4633,Faeroe Islands,FRO,2010.0,1.228129137,234
4687,Fiji,FJI,2010.0,1.619260799,242
4741,Finland,FIN,2010.0,0.61300128,246
4795,France,FRA,2010.0,0.622671952,250
4849,French Guiana,GUF,2010.0,0.935060263,254
4903,French Polynesia,PYF,2010.0,1.736291749,258
4957,Gabon,GAB,2010.0,1.099562687,266
5011,Gambia,GMB,2010.0,1.778555729,270
5065,Germany,DEU,2010.0,0.753129109,276
5119,Ghana,GHA,2010.0,0.595986726,288
5173,Greece,GRC,2010.0,0.618403559,300
5227,Grenada,GRD,2010.0,0.85015573,308
5281,Guadeloupe,GLP,2010.0,1.309731234,312
5335,Guam,GUM,2010.0,0.135825315,316
5389,Guatemala,GTM,2010.0,0.147591352,320
5443,Guinea,GIN,2010.0,0.250774683,324
5497,Guinea-Bissau,GNB,2010.0,0.400266975,624
5551,Guyana,GUY,2010.0,0.805540996,328
5605,Haiti,HTI,2010.0,0.665262322,332
5659,Honduras,HND,2010.0,0.220361098,340
5713,Hungary,HUN,2010.0,0.662019278,348
5767,Iceland,ISL,2010.0,0.544418777,352
5821,India,IND,2010.0,0.282042519,356
5875,Indonesia,IDN,2010.0,0.226664151,360
5929,Iran,IRN,2010.0,0.118820408,364
5983,Iraq,IRQ,2010.0,0.274907202,368
6037,Ireland,IRL,2010.0,0.740897808,372
6091,Israel,ISR,2010.0,0.284523879,376
6145,Italy,ITA,2010.0,0.441303319,380
6199,Jamaica,JAM,2010.0,0.777960514,388
6253,Japan,JPN,2010.0,0.988398912,392
6307,Jordan,JOR,2010.0,0.299432163,400
6361,Kenya,KEN,2010.0,0.298362976,404
