,Entity,Code,Year,Crop,Value (tonnes per hectare)
0,World,OWID_WRL,1961,Wheat (tonnes per hectare),1.0889
1,World,OWID_WRL,1962,Wheat (tonnes per hectare),1.206
2,World,OWID_WRL,1963,Wheat (tonnes per hectare),1.132
3,World,OWID_WRL,1964,Wheat (tonnes per hectare),1.2413
4,World,OWID_WRL,1965,Wheat (tonnes per hectare),1.2151
5,World,OWID_WRL,1966,Wheat (tonnes per hectare),1.4079000000000002
6,World,OWID_WRL,1967,Wheat (tonnes per hectare),1.3392000000000002
7,World,OWID_WRL,1968,Wheat (tonnes per hectare),1.4534
8,World,OWID_WRL,1969,Wheat (tonnes per hectare),1.4174
9,World,OWID_WRL,1970,Wheat (tonnes per hectare),1.4941
10,World,OWID_WRL,1971,Wheat (tonnes per hectare),1.6245
11,World,OWID_WRL,1972,Wheat (tonnes per hectare),1.6046
12,World,OWID_WRL,1973,Wheat (tonnes per hectare),1.6836
13,World,OWID_WRL,1974,Wheat (tonnes per hectare),1.6155000000000002
14,World,OWID_WRL,1975,Wheat (tonnes per hectare),1.5701
15,World,OWID_WRL,1976,Wheat (tonnes per hectare),1.7911
16,World,OWID_WRL,1977,Wheat (tonnes per hectare),1.6724
17,World,OWID_WRL,1978,Wheat (tonnes per hectare),1.9328
18,World,OWID_WRL,1979,Wheat (tonnes per hectare),1.8522
19,World,OWID_WRL,1980,Wheat (tonnes per hectare),1.8554
20,World,OWID_WRL,1981,Wheat (tonnes per hectare),1.88
21,World,OWID_WRL,1982,Wheat (tonnes per hectare),1.9992
22,World,OWID_WRL,1983,Wheat (tonnes per hectare),2.1258
23,World,OWID_WRL,1984,Wheat (tonnes per hectare),2.2201
24,World,OWID_WRL,1985,Wheat (tonnes per hectare),2.1719
25,World,OWID_WRL,1986,Wheat (tonnes per hectare),2.3213
26,World,OWID_WRL,1987,Wheat (tonnes per hectare),2.29
27,World,OWID_WRL,1988,Wheat (tonnes per hectare),2.2926
28,World,OWID_WRL,1989,Wheat (tonnes per hectare),2.3732
